,price,description,location,type,size,bedrooms,bathrooms,available_from,available_year,available_month,available_day
12,10000000,"Fully finished chalet with air conditioning for sale at Silver Sands, North Coast
Double-sided chalet with direct sea view, first row, prime location
Prime location in Sidi Heneish, at kilometer 246
80% of the chalets have a sea view
-------
Chalet Details
Hotel-style finishing with air conditioning
Area: 130 square meters
2 master bedrooms with private bathrooms
Private dressing room
Bedroom
Bathroom
Kitchen
Down payment: 800,000, the rest in installments over 8 years
For inquiries, call me at 01121414098
Village Location:
Near Marassi
Minutes from Hacienda Heneish
Minutes from Marsa Bagoush
Minutes from Silver Sands
Minutes from Almaza Bay
Services inside The Compound:
24-hour security and guarding
Restaurants and cafes
Full-service mall
Strategic location
Integrated entertainment services
Private paved beaches
Close to vital areas
Full-service gym
Green spaces and lagoon","Almaza Bay, Qesm Marsa Matrouh, North Coast",Apartment,140.0,3,1,2025-07-17,2025,7,17
13,20000000,"Luxury Chalet 3 Bedroom With Full Sea View In Prime Location Early Delivery In June By Sodic Over 9 Years Installments
Discover modern living at its finest with this beautifully finished Chalet in June by SODIC. This elegant home offers a serene Lagoon View, combining luxury and tranquility in one of the most sought-after communities.
Unit Details :
Built Up Area : 160 SQM
Number Of Bedrooms : 3
Number Of Bathrooms : 3
Fully Finished + ACs
Payment Plan : Over 8 Years Installments
About June:
June Resort is a premier destination that redefines luxury and relaxation. The project was developed by the real estate giant, Sodic, across a massive area of over 280 acres of land in the North Coast.
June Sodic North Coast is not just a place for relaxation or enjoying the best, it’s a project filled with endless facilities, stunning views, a premium location that is near many resorts in North Coast, and upscale properties for sale that cater to vacationers needs and budgets.
Location:
June is exactly located on the 193rd km of Alexandria - Marsa Matrouh Road. It's near many key destinations in the North Coast.
It's only 5 minutes away from Caesar.
The June Sodic is a mere 10 minutes away from Dabaa Road.
June is 30 minutes away from Sidi Abdel Rahman
The resort is 45 minutes away from Alamein Road.","Caesar, Qesm Marsa Matrouh, North Coast",Chalet,160.0,3,3,2025-09-02,2025,9,2
14,3341100,"Looking for elegant apartment with luxurious finishing? This modern unit offers a bright and airy living space, premium-quality interiors, and a prime location just minutes from the sea. The residence features world-class amenities, including a swimming pool, a fully equipped gym, and lush green spaces. Whether you're seeking a permanent home or a profitable investment, this is the perfect opportunity. Contact us today to book your viewing!
Apartment Size: 74m²
Ultra Super Lux Hotel Finishing
Delivery: By the end of 2026
Payment Plan:
20% down payment with installments over 3 years
30% down payment with installments over 4 years
40% down payment with installments over 5 years
50% down payment with installments over 5 years
25% discount for cash payments
Prime Location in the Heart of Hurghada:
7-minute walk to the beaches
10 minutes from Hurghada International Airport
5 minutes to Downtown & Sheraton Street
3 minutes to Kawther area & the Bank District
Contact us now for more details!
01210010036","El Hadaba District, Hurghada, Red Sea",Apartment,74.0,1,1,2025-08-30,2025,8,30
15,18000000,"Unit Type: Duplex
2 Bedrooms
Built Up Area: 128 sqm
Unit Price: 18,000,000
Down Payment: 15,274,000
EBP – Your Gouna-Based Real Estate Partner
Based in El Gouna, EBP offers complete property services: sales, rentals, finishing, furnishing, and free professional photography.
El Gouna is just 25 minutes from Hurghada Airport — a fully integrated town with schools, university, hospitals, and marinas.
Live, invest, and relax in style — EBP makes it easy.
APT Ready To Move Fully Furnished In Shedwan Gouna","Mangroovy Residence, Al Gouna, Hurghada, Red Sea",Duplex,128.0,3,3,2025-09-01,2025,9,1
16,3150000,"Taj City Compound - New Cairo
Fifth Settlement
On Suez Road and in front of Cairo Airport
For Sale at the Lowest Price
Studio for Sale at Less than the Company Price
Installments over a Year
Area: 64 m
Bedroom
Bathroom
Prime Location
Cash Required: EGP 3,150,000
Remaining EGP 215,880 in installments over a Year
Total Price Includes Garage
_______________________________________________________
For more information, please call or send a WhatsApp message.
_______________________________________________________
Services Provided by inST8
1. Primary Market Sales
• Assisting clients in purchasing new properties directly from developers (residential, commercial, and administrative units).
3. Rental Services
• Facilitating the rental of residences and vacation homes.
4. Property Portfolio Management
• Providing advice and strategies tailored to optimize clients' real estate investments.
• Managing property portfolios to maximize returns and ensure smooth operations.
5. Consulting Services
• Providing investment advice to guide clients toward the best opportunities.
• Assisting investors in growing wealth through smart real estate decisions.
6. Property Listing and Marketing
• Leveraging advanced technology tools and innovative marketing strategies to maximize exposure for listed properties.
• Providing effective lead generation to ensure faster sales and rentals.","Taj City, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",Apartment,64.0,1,1,2025-08-31,2025,8,31
17,29310000,"Developer: Orascom
Project: Makadi Heights
Unit Details: Townhouse
Built-Up Area: 135 sqm
Private Garden
Bedrooms: 3
Bathrooms: 4
Ready for Immediate Delivery
===========
For More Information:
Mahmoud Gamal
Phone: 01200024097
=========
About Makadi Heights
Makadi Heights is a unique, fully integrated resort located in Makadi Bay – Hurghada. Developed by Orascom Development, the project has already welcomed its first residents and visitors since 2022.
Spanning a massive 1,000 acres, only 12% of the land is allocated for construction, while the remaining 88% is dedicated to lush landscapes, water features, lakes, and flowing streams.
Makadi Heights boasts a land bank of 3.7 million square meters, with over 1 million sqm planned for development. It’s strategically located in the heart of Makadi Bay on the Red Sea.
Sitting 70 meters above sea level, Makadi Heights promises breathtaking views. Its elevated location offers expansive panoramic vistas of the Red Sea and coastline in every direction.
Conveniently accessible from Hurghada International Airport, and located just down the coast from El Gouna, Makadi Heights is a stunning masterpiece designed to fully meet the needs of its growing community. Its unique approach delivers everything you need—with minimal effort.","Makadi Orascom Resort, Makadi, Hurghada, Red Sea",Chalet,150.0,4,4,2025-09-01,2025,9,1
18,14127000,"Chalet for sale in Hacienda Waters, North Coast
2 bedrooms
1 bathroom
Kitchen
Reception
Fully finished
Sea view
Price: 14,127,000
2.5% down payment
12-year installments
Smart Move is a full-service, fast-growing real estate marketing/brokerage company in Egypt. Established in 2011, Smart Move is headquartered in Cairo. With our professional and committed team, we offer exceptional real estate services in Egypt, providing you, whether a buyer, seller, individual, or organization, with exceptional and personalized service tailored to your needs and requirements . We deeply understand the Egyptian real estate market and the needs of our clients.   We have a huge network of the most trusted developers in Egypt and franchise different networks in New Cairo, 6th of October, North Coast and Ain Sokhna.","Hacienda Waters, Qesm Ad Dabaah, North Coast",Chalet,72.0,2,1,2025-09-02,2025,9,2
19,16800000,"CAESAR BY OGAMI
_________________________________________________________________________________________________
Own Your Finished Chalet With Sea View Over 8 Years Installments
_________________________________________________________________________________________________
UNIE DETAILS:
BUA 150 SQM
2 BEDROOMS
3 BATHROOMS
SEA VIEW
FULLY FINISHED
SEAVIEW
LAGOONVIEW
BEACHES
WATER SPORTS
PRIME LOCATION
_________________________________________________________________________________________________
FOR MORE INFORMATION: 01225568934
FOR MORE INFO: 01225568934
_________________________________________________________________________________________________
Caesar Sodic North Coast is an elite coastal project, nestled in Ras El Hekma with 1km of beachfront. It is an ultimate vacation destination for this mesmerizing summer, developed with simplicity and luxury in mind.
The resort evokes carefree seashore summers from the distant past. Nearly all of the residents have unhindered views of the Mediterranean because the beach houses of Caesar Ras El Hekma are constructed on terraces.
Sodic developed Caesar North Coast Resort over 192 acres of land in Ras El Hekma. The project is ideally situated on the 202nd km of International Coastal Road, also known as Alexandria - Marsa Matrouh Road.
Caesar Sodic North Coast is a perfect seaside haven, where you may revel in a paradisiacal hideaway with a special blend of simplicity, isolation, and peace.","Caesar, Qesm Marsa Matrouh, North Coast",Chalet,150.0,3,3,2025-08-31,2025,8,31
20,9000000,"Area : New Heliopolis
Project : Talala
Type: Apartment
Number of Bedrooms: 3
Built-up Area: 125 SQM
Finishing Status: Fully Finished
Down payment : 5%
Installments 10 years
Delivery date: 2029
About Talala
Talala New Heliopolis is one of the luxurious developments by Madinet Masr in the east of Cairo. The compound offers a wide range of unmatched amenities, granting its homeowners a contemporary, convenient, and elegant living experience.
The Talala Madinet Masr Compound's prime location ensures its residents’ seamless connectivity and peace of mind. It is ideally situated in New Heliopolis, in proximity to many of east of Cairo’s prominent areas, such as New Cairo and Mostakbal City.","Talala, New Heliopolis Compounds, New Heliopolis, Cairo",Apartment,125.0,3,3,2025-09-02,2025,9,2
21,9900000,"apartment for Sale – Club Hills Residence by HDP
BUA: 170 m²
3 Bedrooms
3 Bathrooms
every quater pay :90,000
Semi-Finished
Delivery Date: August 31, 2028
Located within Club Hills Residence by Housing and Development Properties (HDP), this apartment offers modern living with a functional layout and a private terrace for extra comfort.","Palm Parks   Palm Hills, South Dahshur Link, 6 October City, Giza",Apartment,170.0,3,3,2025-08-31,2025,8,31
22,14100000,"Solare – Ras El Hekma: A world-class coastal experience on the most beautiful beaches of the North Coast.
Live your summer dreamily at Solare by Misr Italia, located at kilometer 199 in Ras El Hekma, one of the purest and rarest spots on the North Coast, with turquoise waters and enchanting white sand.
Area: 100 m
- Two bedrooms (one master)
- Bathroom
- Reception
- Terrace overlooking the sea and Crystal Lagoon
Down payment: 5% starting from EGP 550,000
Remaining balance: Installments up to 12 years interest-free
The project offers a unique experience inspired by the spirit of Italian cities, with delightful European designs, carefully thought-out green spaces, and a lagoon running the length of the compound. Units include:
Chalets, townhouses, villas, and seaside cabins, with luxurious finishes and a variety of spaces to suit every family's needs.
Integrated Services:
Lagoons – Private Beach – 5 International Hotels – Coastal Promenade – Beachfront Cafes and Restaurants – Water Activities – Swimming Pools – Gym – Kids Area – Hotel Services.
Very Flexible Payment Plans: Down Payment Starting at 5% and Installments Over 8 Years.
Solari is a luxurious summer lifestyle destination that combines beauty, tranquility, and high-level service.","Solare, Ras Al Hekma, North Coast",Chalet,100.0,3,1,2025-07-30,2025,7,30
23,14100000,"Chalet 3BR Lagoon View – The Med Ras El Hekma by People & Places
BUA: 147 m²
Bedrooms: 3
Bathrooms: 3
Finishing: Fully Finished
View: Lagoon View
Payment Plan: Up to 10 Years Installments
Discover the elegance of coastal living in The Med Ras El Hekma by People & Places. This 3-bedroom chalet spans 147 m² and is designed with modern layouts, spacious interiors, and seamless flow between living areas. With its stunning lagoon view, the unit offers a serene and refreshing lifestyle, perfect for family vacations or year-round living.
The Med is a fully integrated community featuring swimmable lagoons, vast greenery, cycling & walking promenades, direct beach access, and exclusive clubhouses. The project also includes dining venues, retail promenades, and leisure facilities, ensuring a vibrant community lifestyle.
Developed by People & Places, this project guarantees exceptional quality, contemporary finishing, and an attractive long-term investment opportunity. With a flexible payment plan of up to 10 years, this chalet is not only a dream home but also a smart investment in Ras El Hekma’s most prestigious address.","The Med, Ras Al Hekma, North Coast",Chalet,147.0,4,3,2025-09-01,2025,9,1
24,5382000,"nnouncing Oro Beach Project – Hurghada, Al Ahyaa Area
Discover a new level of luxury living at Oro Beach, a premium residential and touristic project located directly on the Red Sea in the sought-after Al Ahyaa area of Hurghada.
Project Highlights:
Prime beachfront location in Al Ahyaa, Hurghada
Private beach with stunning sea views
Swimming pools for adults and children
Modern unit designs with sea-facing balconies
24/7 security and full hotel-style services
Flexible payment plans and competitive prices are available. Own your dream home by the sea today.
For inquiries or reservations:
Contact us at [01020742072]","Al Ahyaa District, Hurghada, Red Sea",Apartment,78.0,1,1,2025-05-07,2025,5,7
25,11530000,"Resale ground duplex in Ivoire Compound
bua 240 sqm
garden 86 sqm
core and shell
Delivery 2027
4 bedrooms
4 bathrooms
Unit price :
Total 11,530,000
D. p 4,000,000
all the phase is duplexes only , only 2 units in the building
Company profile :
We are RE/MAX EVEREST, a Franchise of RE/MAX, the World's No. 1 Real Estate Brokerage Brand.
With more than 120,000 Agents in 8,400+ offices in 115 countries, we are presently the fastest growing real estate network in Egypt and the Middle East.","Ivoire, Sheikh Zayed City, Giza",Duplex,240.0,4,4,2025-09-01,2025,9,1
26,28000000,"Own a stunning one-story Twinhouse in Olive Oasis, perfectly positioned directly on the lagoon for an unmatched waterfront lifestyle.
With a BUA of 187 sqm, this home is designed for comfort, privacy, and elegance.
Compound Features:
- Crystal lagoons & private sandy beach
- Swimming pools & ladies-only pool
- Clubhouse, gym, spa, and wellness center
- Green landscapes & botanical gardens
- Cycling & jogging tracks
- Restaurants, cafes, and retail promenade
- Strategic location on the North Coast
A rare opportunity to own a lagoon-front Twinhouse in one of the North Coast’s most prestigious communities.","Solare, Ras Al Hekma, North Coast",Twin House,187.0,3,3,2025-08-31,2025,8,31
27,3500000,"Prime Studio for Sale in One of the Most Prestigious Phases of Madinaty – B8
Area: 45 sqm | Sea View | Main Street View | Old Booking | Commercial Offer
A rare investment opportunity – Old booking with a commercial offer that is 3 million EGP less than the company’s current price.
Location: Madinaty – Phase B8
Area: 45 sqm
Orientation: North-facing (Sea Breeze)
View: Open main street view (not park view)
Unit Details:
1 Bedroom
1 Bathroom
Reception area
Terrace
Payment Plan:
Down payment required now: 900,000 EGP
Remaining balance on 10-year installment plan
Monthly installment: 15,000 EGP
Annual installment: 155,000 EGP
Total contract value is one of the best in the market with flexible payment terms
Delivery within 2 years
Unit Highlights:
North-facing (sea breeze) for natural ventilation and lighting
Direct view of an open main street (not facing a park)
Early booking with significant price advantage
Long-term installment plan available (up to 10 years)
For more information and inquiries:
Adham Amr
Mobile: +20 112 555 5249
EXPERTS Real Estate Marketing
Office No. S10 – East Business Hub – Madinaty – New Cairo
We provide a wide range of residential, commercial, and administrative units across Madinaty and New Cairo.","Madinaty, Cairo",Apartment,45.0,1,1,2025-08-21,2025,8,21
28,9085000,"Apartment for sale with facilities in Bloomfields - Mostakbal City
BUA : 153 sqm
Fully finished
2 bedrooms -2 bathrooms
Sale price : 9,085,000 EGP
Down payment : 450,406EGP
Rest over 5  years
Delivery Date : 2 Years
====================
Bloomfield Mostakbal City services:
Providing a lot of quiet areas surrounded by green spaces and scattered gardens, so that residents can spend an enjoyable time away from the outside noise.
Providing a spa and gym that contains all the sports equipment that customers need.
The presence of a track dedicated to walking and riding the calf.
The presence of a social club to spend the most enjoyable times.
The presence of restaurants and cafes in more than one place within the project.
Providing gardens for hiking and spending a special time.
A 24-hour security presence to protect residents, with a number of surveillance cameras to ensure safety in the place.
The presence of Crystal Lagoon.
Availability of international schools to save time for the residents of the compound.
The presence of areas designated for parties and barbecue places.
The presence of a smart home system in the units.
Club House.
A commercial area with many malls where all international brands are located.
Many artificial fountains that give the place a joy, and artificial lakes, whose waters are characterized by turquoise colors.
Availability of a dedicated car park for the residents of the project.
------------------------------
Apartments for sale in Mostakbal City compounds
- Properties for sale in Bloomfields
- Apartments for sale in Bloomfields
- Houses and villas for sale in Bloomfields
- Penthouse (roof) for sale in Bloomfields
- 3 bedroom apartments for sale in Bloomfields
Apartments for sale in Mostakbal City compounds Ready To Move","Bloomfields, Mostakbal City Compounds, Mostakbal City - Future City, Cairo",Apartment,153.0,2,2,2025-07-15,2025,7,15
29,4000000,"RTM townhouse in Badya Palm Hills, 6th of October,
184 sqm.
3 bedrooms and 3 bathrooms
Nannys room
a private garden
- Down payment of  4 million EGP, with the rest in flexible installments over 8 years.
**Location of Badya Palm Hills Project, 6th of October:**
- Minutes away from New Giza and Al Khamayel.
- Close to Hyper One and Mall of Arabia.
- Located near Zayed Central Park and Mall of Egypt.
- Just steps away from the 26th of July Corridor.
- Close to Royal City.
- Minutes from Dream Park and Police Mosque.
- Near the Middle Ring Road.
- Close to Juhayna Square and Sphinx International Airport.
**Services and Amenities at Badya Palm Hills, 6th of October:**
- Badya App, an application to control your home details with a smart home system.
- Shopping malls and entertainment areas.
- International schools and universities nearby.
- City-wide Wi-Fi network.
- Olympic swimming pools, plus pools for women and children.
- Sports clubs with tennis and golf courts.
- Dedicated space for horse riding.
- Squash courts.
- Cinemas and theaters.
- Touristic promenade for jogging and cycling.
- Green spaces and artificial lakes throughout the compound.
- Kids' play area.
- Administrative offices and medical clinics.
- Health club with spa, sauna, and jacuzzi.
- Social club for leisure time.
- Dedicated space for yoga and meditation.
- Private garage for each unit with a separate entrance and exit.
- Restaurants and cafes complex.","Badya Palm Hills, 6 October Compounds, 6 October City, Giza",Townhouse,186.0,4,3,2025-08-19,2025,8,19
